scope,activity_id,molecule_chembl_id,scaffold_key,cv_fold,reference_n,maximum_tanimoto,bin,nearest_tie_count,nearest_activity_ids,nearest_molecule_ids,nearest_scaffold_keys
cv_to_other_cv_folds,14762229,CHEMBL1916286,O=S(=O)(Nc1ccnn1-c1ccccc1)C1CCCCC1,2,467,0.6774193548387096,"[0.6,1.0]",3,"[""14763424"",""14764305"",""14764332""]","[""CHEMBL1916281"",""CHEMBL1916282"",""CHEMBL1916283""]","[""O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1"",""O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1"",""O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1""]"
cv_to_other_cv_folds,14762230,CHEMBL24646,O=C1CCC(c2ccc3[nH]c(-c4ccccc4)nc3c2)=NN1,2,467,0.29850746268656714,"[0.2,0.3)",1,"[""14762254""]","[""CHEMBL2070137""]","[""c1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1""]"
cv_to_other_cv_folds,14762231,CHEMBL2207284,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,0,467,0.8571428571428571,"[0.6,1.0]",1,"[""14762453""]","[""CHEMBL2207285""]","[""O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)NC3CC3)ccc12""]"
cv_to_other_cv_folds,14762232,CHEMBL257025,c1ccc(CSc2ncc3cn[nH]c3n2)cc1,1,462,0.7049180327868853,"[0.6,1.0]",1,"[""14761183""]","[""CHEMBL257269""]","[""O=c1ccc2cnc(SCc3ccccc3)nc2[nH]1""]"
cv_to_other_cv_folds,14762233,CHEMBL315970,O=c1[nH]c(=O)c2cn(Cc3cccc4ccccc34)cc2[nH]1,4,467,0.4444444444444444,"[0.4,0.6)",1,"[""14763444""]","[""CHEMBL205526""]","[""O=c1[nH]c(=O)c2cc(Cc3cccc4ccccc34)sc2[nH]1""]"
cv_to_other_cv_folds,14762234,CHEMBL1916083,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,1,462,0.5238095238095238,"[0.4,0.6)",1,"[""14764474""]","[""CHEMBL1916267""]","[""O=S(=O)(Nc1ccnn1Cc1ccccc1)c1ccccc1""]"
cv_to_other_cv_folds,14762235,CHEMBL1945298,O=c1[nH]c2cccc(CCNCCOc3cccc(CNCCc4ccccc4)c3)c2s1,2,467,0.7464788732394366,"[0.6,1.0]",1,"[""14763254""]","[""CHEMBL1944692""]","[""O=c1[nH]c2cccc(CCNCCc3ccc(CNCCc4ccccc4)cc3)c2s1""]"
cv_to_other_cv_folds,14762236,CHEMBL2207276,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,0,467,0.632183908045977,"[0.6,1.0]",1,"[""14764385""]","[""CHEMBL2207654""]","[""O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)N3CCC3)ccc12""]"
cv_to_other_cv_folds,14762238,CHEMBL337962,O=C(Nc1ccccc1)Nc1ccccc1CN1CCC(Cc2ccccc2)CC1,1,462,0.2916666666666667,"[0.2,0.3)",1,"[""14765523""]","[""CHEMBL2164670""]","[""O=C(NCc1ccccc1)C1CCCCC1C(=O)N1CCN(Cc2ccccc2)CC1""]"
cv_to_other_cv_folds,14762241,CHEMBL1232461,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,4,467,0.2823529411764706,"[0.2,0.3)",1,"[""14759988""]","[""CHEMBL1783112""]","[""c1ccc2c(-n3ccnn3)ccnc2c1""]"
cv_to_other_cv_folds,14762242,CHEMBL1164033,O=S(=O)(Nc1ccccc1)c1ccccc1,0,467,0.2891566265060241,"[0.2,0.3)",1,"[""14759974""]","[""CHEMBL2018954""]","[""O=S(=O)(Nc1nccnc1OCc1ccccc1)c1ccccc1""]"
